id	created_at	full_text
1060489670033846272	2018-11-08 11:10:14+00:00	@jasonacooper @SandyfordBID @LeopardstownRC @smytho @josephamadigan @bizquip @ricohireland @VanessaTierneyA @abodoojobs @CBRE_Ireland @dlrcc Totally agree Jason
1060489608700575744	2018-11-08 11:10:00+00:00	There was a wonderful turnout and engagement at this mornings @SandyfordBID #SandyfordInnovation Forum. I was delighted to attend their 3rd such forum alongside my colleague @gerryhorkan Well done to the organisers and panel of speakers. https://t.co/zs3vxkKfTt
1060465740208324609	2018-11-08 09:35:09+00:00	Adrian Weckler interviews the panel of speakers here at the #SandyfordInnovation Philomena Poole @dlrcc Paddy Conlon of #CBRE @VanessaTierneyA of #Abodoo &amp; Chas Moloney #RICOH https://t.co/IoVieDCwR6
1060455250656747520	2018-11-08 08:53:28+00:00	A truly thought provoking talk by @dlrcc Chief Executive’s Philomena Poole here in the @SandyfordBID Innovation Forum about the various methods deployed across our County; Red Squirrels, Smart Bins, Electric Car Charging Points, #Cabinteely House and more...#SandyfordInnovation https://t.co/E4ZQviUJGl
1060449526430003200	2018-11-08 08:30:43+00:00	Sharon Scally, Chair of @SandyfordBID opens the 3rd #Sandyford Innovation Forum and its great to see @bizquip &amp; the BID promoting reusable cups #SandyfordInnovation https://t.co/UhQKXn4ocM
1060072541857988608	2018-11-07 07:32:43+00:00	@CualaCLG The next generation. Fantastic result, congratulations.
1059918594954461189	2018-11-06 21:21:00+00:00	@tony_randles @dlrcc @DunLaoghaireBID @DLR_Chamber @dlrcycling @dublincycling Hi Tony, there's an increase in the maintenance budget which will improve the network (paths, roads, junctions) for all users, there's also €105k for Road Safety Engineering Improvements (up from €55k). This is on top of spending on capital projects (which I don't have to hand)
1059909996094349318	2018-11-06 20:46:49+00:00	@MONKSTOWNBC @dlrcc @DunLaoghaireBID @DLR_Chamber Unfortunately not, this was the just revenue budget. Issues for those type of facilities will be debated in the capital programme in February 2019. Please keep in touch.
1059906947435163649	2018-11-06 20:34:43+00:00	DLR Councillors have approved a €184m budget for 2019. It includes increased funding across all divisions, prioritising housing, services and improving public spaces in our towns and villages. There will be no increase in commercial rates, council rents, parking or other charges https://t.co/EJ2A5tAfWX
1059577381697011712	2018-11-05 22:45:08+00:00	@senatorpauldaly @fiannafailparty @cardagh Thank you Paul.
1059546845314273280	2018-11-05 20:43:48+00:00	Honoured to be selected with Justin Moylan to contest the 2019 Local Elections for @fiannafailparty in the Dún Laoghaire Local Electoral Area #LE19. Thanks to Senator Catherine Ardagh for Chairing our convention 👍🏻 https://t.co/gDkCxPaHbd
1058863513911869441	2018-11-03 23:28:29+00:00	Congratulations and well done Kieran  &amp; Damien. https://t.co/TAogJ32Teh
1058798683796488192	2018-11-03 19:10:52+00:00	Comhghairdeas Mattie, so well deserved. We in @CualaCLG  will miss you. Thank you for all of the wonderful memories, now let’s replicate them for Dublin hurling! https://t.co/lHwyhArNDS
1058751433946861568	2018-11-03 16:03:07+00:00	Glad to join #Flossie and the other volunteers this afternoon on their latest seafront cleanup of #dunlaoghaire - Stay tuned for further updates on other local cleanups, especially in-light of this #plastic contamination in the bay. For more see;  https://t.co/9EOpQVLkvM https://t.co/QzINPeFVMr
1058711295237726208	2018-11-03 13:23:37+00:00	There will be a group of volunteers meeting at 2pm to assist in the cleanup during low tide at the little rocky beach, between the top of east pier and the baths at 2pm. Please help us out and spread the word. @flossiebeachcl1 @DLRPPN @dlrlocalnews @VolunteerDLR @DLR_Libraries https://t.co/QfdEVWtaWr
1058692002597011456	2018-11-03 12:06:57+00:00	Meeting point will now be at little rocky beach, between top of east pier and swimming baths at 2.
1058677334587465729	2018-11-03 11:08:40+00:00	@BrianBREVL @smytho Hi Brian, please view the plans here https://t.co/0hqSci7tkN
1058484591181344768	2018-11-02 22:22:46+00:00	FYI @flossiebeachcl1 @DeanEatonDLR @socodutweets @mark_driscoll @dlrlocalnews @DunLaoghaireBID @desburkekennedy https://t.co/oh80YfHpCV
1058442173648195584	2018-11-02 19:34:13+00:00	@cllrbarrysaul @FineGael @fg_rathdown Congratulations to yourself and Deirdre. 🍼
1058392484345270272	2018-11-02 16:16:46+00:00	@defenceforces Congratulations all.
1058349422407491589	2018-11-02 13:25:40+00:00	@mark_driscoll @flossiebeachcl1 Any idea what they’re from?
1058342196972273664	2018-11-02 12:56:57+00:00	@mark_driscoll I can’t be 100% sure Mark but thank you for letting me know. I’ve already informed the Council as it was raised with me earlier by @flossiebeachcl1
1058342046241570817	2018-11-02 12:56:21+00:00	@socodutweets @dlrcc Thank you for letting me know. I’ve already informed the Council as it was raised with me earlier by @flossiebeachcl1
1058302045852221441	2018-11-02 10:17:24+00:00	@flossiebeachcl1 @dlrcc @DeanEatonDLR Thank you Flossie, I’ll raise it with @dlrcc once again.
1058281001837883394	2018-11-02 08:53:47+00:00	Delighted to join #Shankill Tidy Towns as they celebrated their recent success. They took bronze in the @TidyTownsIre competition &amp; they won the “Best Community / Business Involvement” across @dlrcc in the Tidy Districts competition. Well done all, Shankill is looking superb! https://t.co/KHE8LZLYrv
1058100964685762561	2018-11-01 20:58:23+00:00	Congratulations to @myIADT on the launch of the #Motyf Festival 2018 @ @dlrLexIcon - You should pop in to see it. Well done to Dr Hilary Kenna &amp; Jessica Fuller. You can view the catalogue online https://t.co/DdLcsZ73bR https://t.co/3pa4Moz9IU
1057959543584514048	2018-11-01 11:36:25+00:00	The @Independent_ie Environmental Editor, Paul Melia giving comparative figures to the @CualannO seminar of the skyrocketing price of house prices and rents across #Dublin &amp; #Ireland - “Out of 138 Eircode areas, a person earning €47,000 can buy in less than 50 of those areas” https://t.co/cIvQ4FHLE0
1057957570109943808	2018-11-01 11:28:35+00:00	Interesting presentations at the O Cualann #AffordableHousing Seminar. Hugh Brennan giving details of their model &amp; the urgent need for further rollout. Fianna Fáil Housing Spokesperson Darragh O'Brien will detail our policies on affordable &amp; social housing https://t.co/WUhbgkbZJx
1057709053554634753	2018-10-31 19:01:04+00:00	Well done to the residents of #Foxrock who with thanks to @dlrcc grant funding, are hosting a public #halloween movie night tonight in the village car park. The movie “Monster Night” will be showing until 8pm - all welcome. There’s still a few goodie bags left!! 🎃 https://t.co/z2OEBBF8is
1057686840772300801	2018-10-31 17:32:48+00:00	As one of the busiest nights begins for many of our emergency services, I want thank them and wish them well and hope it’s a safe one for each of them. Thank you all. Happy #Halloween everyone, enjoy it! 🎃 @DubFireBrigade @LoughlinstwnNAS @gardainfo @HSELive #Halloween2018 https://t.co/JmYn4wlRU9
1057378275398504449	2018-10-30 21:06:40+00:00	Delighted to support @debraireland at #KensHalloweenHouse in #Bayview #Killiney - It’ll be open for its last day on Wednesday 31st October from 4-9pm. It’s a spooktacular experience for all the kids. For more visit https://t.co/tQvVoNcAio  #EBAwareness https://t.co/o4DVL8X74Q
1057311434252734464	2018-10-30 16:41:04+00:00	#NTA advising this evening that the second phase of the #MetroLink consultation will now be delayed until early next year due to the high volume of submissions received. https://t.co/2W3XGJAyOG
1057299148288987137	2018-10-30 15:52:15+00:00	@KBC_UCD Well done! 👍🏻
1056574924972810241	2018-10-28 15:54:26+00:00	We’re looking forward to being frightened later... https://t.co/RQ7Pur81wp
1056559351572373504	2018-10-28 14:52:33+00:00	Delighted to attend the official opening of the new Newtown Park Pastoral Centre in #Blackrock today. It’s a very impressive community centre and a wonderful addition to the area. Well done to all involved. https://t.co/qNRhT4IGEV
1056554844033609728	2018-10-28 14:34:39+00:00	@SeanHussey00 @dlrcc @gersgaa @DanielHussey2 @CabinteelyLife Comhghairdeas to all! Well done. 👏🏻
1056465144920920066	2018-10-28 08:38:13+00:00	Wishing all athletes who are taking part in the @dublinmarathon today all the very best of luck. I know a number of the runners so I’ll be there to cheer them on! https://t.co/ocHYOWXR4x
