id	created_at	full_text
1200450693187952640	2019-11-29 16:25:23+00:00	We've four great candidates running in the by-elections today. I think we have a real chance of winning. Every vote counts. If you live in one of the constituencies then please #votegreen1 before 10pm tonight. https://t.co/A6xZcHfS3q
1200443376329469952	2019-11-29 15:56:18+00:00	Whose future? Our future! Whose planet? Our planet! Whose lives? Our lives! #schoolstrike4climate #Fridays4Future #ClimateStrike  @GretaThunberg #dublin #Ireland https://t.co/qJjTigPtZx
1200103099731529730	2019-11-28 17:24:10+00:00	Dubsky Sounds. It's a disco canvass on Esmond Street, Gorey for @KarinDubsky Teas, cakes and sweet tunes. #votegreen1 #WantGreenVoteGreen #wexford https://t.co/swvIfxT1NR
1199790192493809665	2019-11-27 20:40:47+00:00	Vote Green #1 this Friday.  #wantgreenvotegreen @joefingalgreen #Fingal https://t.co/7snUC1ovxD
1199788878850334720	2019-11-27 20:35:34+00:00	Heading home after a great night canvassing for @joefingalgreen in the Fingal by-election this Friday.  #votegreen1 https://t.co/7w8fL44rPG
1199714355560034304	2019-11-27 15:39:26+00:00	EU rules requiring this consultation were agreed a year ago. Not fair that it's only open to the public today &amp; closes 15 days later, leaving the Government just 9 more days to amend our whole EU climate strategy. This is the key document which will determine our economic future. https://t.co/Ex7np2E8Pu
1199436408294907905	2019-11-26 21:14:58+00:00	.@TheKavOfficial gives a team talk to his canvassers in Palmerstown this evening. It's hard running a bye-election campaign but a great privilege to put yourself forward before the people. Hoping #DublinMidWest will #votegreen1 on Friday. #wantgreenvotegreen https://t.co/5BTdeUpX23
1199348413675884545	2019-11-26 15:25:19+00:00	@immdaly @greenparty_ie @LeoVaradkar @FineGael Of course we should always be forgiving of the person but my criticism relates to a political decision by @LeoVaradkar to attend the canvass. He originally critisised the comments but his presence yesterday sends a very different message. I think it's valid to question that call.
1199300619317776384	2019-11-26 12:15:24+00:00	.@LeoVaradkar could have stayed away from the Wexford campaign trail yesterday.  Instead by turning up to support Verona Murphy he sends a clear signal that @FineGael tolerates the way she raised fears about refugees, to bolster her own campaign. #shame https://t.co/CromVSisFc
1198247593375088641	2019-11-23 14:31:03+00:00	Great to be out with @RevTrev10 and @joefingalgreen on the final week of the campaign trail. #wantgreenvotegreen https://t.co/SGngj2UVWP
1197988246183202816	2019-11-22 21:20:30+00:00	.@TheGreenMcCabe 'There's a right way &amp; a wrong way of tackling climate change. We need to do it by treating workers &amp; farmers with dignity. This starts in local communities &amp; works from the bottom up. The only way we'll keep dignity at the heart of it is if we all get involved.' https://t.co/ilJZsbi5u7
1197984298651078656	2019-11-22 21:04:48+00:00	Great crowd at the launch of our candidates for the two Meath constituencies in the next general election: @TheGreenMcCabe &amp; @SeamusMcMenamin We are still seeing the #GreenWave continuing to rise. I think we might surprise people in what comes next. #climatejustice https://t.co/OGGhWzLQSg
1197795199302410240	2019-11-22 08:33:24+00:00	Enjoyed debating at @OxfordUnion last night, against the motion that we cannot trust mainstream media. We need a new advertising &amp; public service model which insures everyone can access quality journalism. It has to be citizen/community centred, not just under corporate control. https://t.co/4Psxr44m7F
1197419417900113920	2019-11-21 07:40:10+00:00	It has been a privilige and a pleasure to work with @eoinwilson for the last ten years. #nobetterman https://t.co/MD8QzoHPUc
1197124067083608065	2019-11-20 12:06:33+00:00	.@Cyclistie @dublincycling @IBIKEDublin presented to Oireachtas Transport Committee today. Agreed we have to normalise cycling across the country. As it happens, on this wet &amp; cold day, there was a equal number of bikes &amp; cars parked on the Kildare Street side of Leinster House. https://t.co/jy3sYa3ZwV
1195281209556897793	2019-11-15 10:03:42+00:00	The youth assembly on climate change is starting now in Dail Éireann. You can watch live through the day via @RTENewsNow https://t.co/8nKAxrimP8 https://t.co/RtKn5F1PPF
1195249430234095616	2019-11-15 07:57:25+00:00	There is still hope https://t.co/mNwrLDRUOw
1194624074619609088	2019-11-13 14:32:29+00:00	The Taoiseach had no answer to the question, where is all the increased traffic from a widened M11 going to go? https://t.co/GFfL4AhNnt
1194544700851658753	2019-11-13 09:17:04+00:00	Safe journey @GretaThunberg aboard #lavagabonde sailing to Spain for #COP25 https://t.co/Xon7oraAOM  https://t.co/wJ6wTvs8vR
1194382042189971457	2019-11-12 22:30:44+00:00	Cracking programme by @rte @boucherhayes on how we can reduce our climate emissions.  Greener, more profitable farming.  Rewetting peatlands.  Promoting bikes not cars.  Close to nature, continuous cover forestry. Offshore wind. Marine protected areas.  #hotair #RTEonclimate https://t.co/DtIPC04ZWo
1193946526659284993	2019-11-11 17:40:09+00:00	Twenty years ago we argued for public transport solutions rather than widening the N11 at the Glen of the Downs. The same argument still applies today. Widening all the motorways approaching a gridlocked Dublin is pure madness. We have to change our ways.  https://t.co/uZgP2TKlGX
1192461044897243136	2019-11-07 15:17:22+00:00	On a day of @rte job losses @AineKerr argues we've a wicked  'information disorder' problem, where the connection between people &amp; quality journalism is being lost. We need new models of regulating the internet which also allow us protect free speech. #InternationalGrandCommittee https://t.co/c3A2RXSqIB
1192454875499679746	2019-11-07 14:52:51+00:00	Very embarrassing that our Data Protection Commissioner had to admit before our #InternationalGrandCommittee that the Irish Government didn't agree to the full resources request she made in Budget 2020. An incredibly short sighted decision which should be reversed. #digitalrights https://t.co/Qu6ECSUCxJ
1192371581819006977	2019-11-07 09:21:52+00:00	You can watch live throughout the day our International Grand Committee on Disinformation and Fake news:  https://t.co/PQkMyIAwVS We want to get international collaboration on the regulation and governance of online social media platforms. https://t.co/gXR2rntGw4
1192087954702917634	2019-11-06 14:34:50+00:00	There's a growing movement working for global online platform regulation &amp; accountability. Have we turned our public debating space from a town square into a shopping mall? Is this now a threat to our democracies? What can Ireland do? @CIGIonline #InternationalGrandCommittee https://t.co/xN2Ra3kk9O
1192013558755856384	2019-11-06 09:39:13+00:00	In advance of our #InternationalGrandCommittee on disinformation &amp; fake news tomorrow, @CIGIonline are holding an all day workshop on International Cooperation on Platform Governance. We hope Dublin can be a safe space to work out what good internet regulation looks like. https://t.co/5tC6sTcCS1
1191792929549012992	2019-11-05 19:02:31+00:00	A discussion starts in @littlemuseumdub on Digital disruption in Ireland's next election. It's the start of events in Dublin over next 2 days looking at how we might get international collaboration in online governance of disinformation &amp; fake news. Hosted tonight by @LizCarolan https://t.co/zvL81q7pIj
1191765907237953537	2019-11-05 17:15:08+00:00	The Government is failing to tackle climate change, in transport, land use and in energy policy.  I made the case for more radical action on the 'Floating Voter' podcast with @KevDoyle-Indo and @Philip_Ryan. You can listen back here: https://t.co/JgkpxyQ27h
1191415250744233986	2019-11-04 18:01:45+00:00	Members of @ExtinctRebelsIE chill outside Leinster House, while pouring scorn on the comments from @LeoVaradkar that climate change may bring a silver lining in the form of warmer winter days. https://t.co/qg6fFTg7ms https://t.co/KQdPzDCKI6
