id	created_at	full_text
1491521274761330696	2022-02-09 21:15:57+00:00	Government housing policy making a bad situation worse https://t.co/l8RIZhz2hw
1491057311032688644	2022-02-08 14:32:20+00:00	Taoiseach talks around in circles on cost of living crisis. No urgency. No understanding.
1490996750839992323	2022-02-08 10:31:41+00:00	Another report released revealing the collusive behaviour of British State in Ireland  8 British State agents involved in the murder &amp; attempted murder of 27 citizens  Guns from apartheid South Africa given to loyalist gangs by RUC Special Branch &amp; evidence of crimes destroyed https://t.co/YAvnNpYXqb
1490795532796706822	2022-02-07 21:12:07+00:00	Out of touch, indifferent, tone deaf government https://t.co/PceuJkocbM
1490675397398339593	2022-02-07 13:14:44+00:00	Excited to visit new social economy enterprise project @innercityenter https://t.co/EsRV6JLy28
1490232167363977217	2022-02-06 07:53:30+00:00	Sunday morning Dublin https://t.co/4NMB16DuDO
1490069369724059652	2022-02-05 21:06:36+00:00	No child should have to bare their agony on TV to get the care they need @SBH_PAG @scolionetwork @HSELive https://t.co/pIsnjYJhGr
1490012063216844804	2022-02-05 17:18:53+00:00	For 30 years the families of Sean Grahams Bookmakers massacre  have shown great strength and dignity in their fight for truth. Next week the long awaited Ombudsman’s report into the killings will be published. https://t.co/0t4ScH8IxO
1489987079434129416	2022-02-05 15:39:37+00:00	@glyphdice I don't have it with me in Tralee 😂
1489985695812882443	2022-02-05 15:34:07+00:00	Taking on the Kingdom Pa Daly in rainy Tralee #UpTheDubs https://t.co/55M3TE4JCI
1489306243722268677	2022-02-03 18:34:13+00:00	Essential that parties work quickly to get legislation through the Assembly. Executive now unable to function. DUP action mean budget &amp; health investment stalled. Limbo around lifting of Covid restrictions. In absence of functioning executive an early election must be called https://t.co/2WFd6DSnh5
1488851278134489088	2022-02-02 12:26:20+00:00	Children can no longer wait in agony. The funding for orthopedic surgeries must be released now. @HSELive https://t.co/vRYcqXoyQ9
1488532081776988164	2022-02-01 15:17:58+00:00	The Taoiseach who doesn't answer questions (ever) refuses our call for  Minister Simon Coveney to answer, questions on the Champagne event in Iveagh House. That's how they roll!
