id	created_at	full_text
1255508265057861633	2020-04-29 14:44:31+00:00	Further details ➡️ https://t.co/qvY0nVhFKw  Schools have autonomy to assess &amp; report achievement for students.   .@Education_Ire to issue guidelines to schools as to how they can do this. Schools will also be asked to set out their plans clearly for students and their families.
1255507166750019585	2020-04-29 14:40:09+00:00	Today I announced changes to the #JuniorCycle   A few main things -   There are no state exams for the JC this year’s students.  And school students will not be sitting exams early in the next school year.  1/3
1249339049564831744	2020-04-12 14:10:15+00:00	Beannachtaí na Cásca oraibh go léir 🐣🐥  Happy Easter everyone.  #StaySafe #CáiscShona #DomhnachCásca https://t.co/K8DOuyrdZS
1245309927842820098	2020-04-01 11:19:58+00:00	Our aim is to create opportunities for SNAs to work with kids in community &amp; free up nurses &amp; medics for the #COVID19 frontline response. We need your support. https://t.co/RlrDcaz3IO
1244913282634395648	2020-03-31 09:03:50+00:00	Merck &amp; bravo! Great initiative for anyone who can get online. 👏🏼 https://t.co/mNgzjESiXm
1244912668697387010	2020-03-31 09:01:24+00:00	Thanks to everyone who has come on board to support schools &amp; families 👏🏼👏🏼👏🏼 ⁦@Postvox⁩ @RTENewsNow ⁦@DeptRCD⁩ ⁦@SVP_Ireland⁩ https://t.co/Ga7WeJtjr8  https://t.co/6vhpmAkbOw
1244604586402422784	2020-03-30 12:37:11+00:00	Well done @DonegalETB for highlighting this. Great initiative @ColaisteAiligh ✅👏🏼  Who else is out there with spare PPE supplies? #coronavirus #COVID19 https://t.co/wUYP7egEIR
1244305285273071616	2020-03-29 16:47:52+00:00	We will have more info tomorrow for principals &amp; the available supports to get the food where it’s needed most #coronavirus #COVID19 https://t.co/b04xPr2n2I
1244270604150284288	2020-03-29 14:30:04+00:00	Thank you @AerLingus &amp; everyone all the way along the supply chain. https://t.co/i91TaI7KHE
1242563585777139712	2020-03-24 21:26:59+00:00	The full list of essential shops that will remain open as we widen #COVID19 #coronavirus restrictions https://t.co/YoQXo3hngr
1242350140125577216	2020-03-24 07:18:49+00:00	Some really helpful advice for students and their families. It is a time of great stress for all of us so please take a look at what you can do to reduce that... https://t.co/uZIi6yMsze
1242349629339025408	2020-03-24 07:16:48+00:00	Great local community response to get the message across #coronavirus #COVID19 https://t.co/GEo3kBvIWx
1240713619723169793	2020-03-19 18:55:52+00:00	Please keep focused, please look out for each other, please support each other and most of all keep heeding the advice to stem the spread of #COVID19 https://t.co/Fku7Fr0sou
1240608313932480512	2020-03-19 11:57:26+00:00	As the first truly digital generation you’re able to maintain social contacts &amp; keep us all connected. Keep doing that – do what you can to make life better for everyone.
1239895894167891974	2020-03-17 12:46:31+00:00	Brilliant .@WillSliney ☘️ https://t.co/QAsKnyIqu5
1237430741203632131	2020-03-10 17:30:53+00:00	Tuilleadh eolais curtha ar fáil do scoileanna ag an Príomhoifigeach Leighis Tony Holohan @roinnslainte @Education_Ire https://t.co/IznganIUz8
