id	created_at	full_text
803940369679417345	2016-11-30 12:34:55+00:00	The people did their research years ago and came up with the right conclusions- water charges won't conserve water
803939695684161536	2016-11-30 12:32:14+00:00	Irish people are conscientious in their use of water! We use 20% less than Britain -so much for charges reducing use@rtenews @MartinaFitzg
803933771779239936	2016-11-30 12:08:42+00:00	No way we won't pay. Bringing up water charges at leaders questions this morning @rtenews @MartinaFitzg
803603048425779200	2016-11-29 14:14:31+00:00	Public meeting in Dun Laoghaire this evening ahead of debate in Dail on medicinal cannabis bill #makeithappen #makeitmedicine
801781258372182016	2016-11-24 13:35:23+00:00	FG/FF in backroom negotiations on water committee - makes u think they in backroom negotiations on the actual charges! #stitchup
801778920257421312	2016-11-24 13:26:05+00:00	Last minute notice of motion on water charges is not good enough. #newpolitics!
801778641168465920	2016-11-24 13:24:59+00:00	We're back! Am objecting to inference that the reason we can't debate on water is because we talked to much on finance bill. How dare they!
801777989545578496	2016-11-24 13:22:23+00:00	Dail suspended! Gov with support of ff trying to rush through motion on water cttee without debate. More sleight of hand!
801548291574026241	2016-11-23 22:09:39+00:00	Trying to get answers @ debate on finance act. Who benefits from not closing a tax loophole for property speculators? Not us? @rtenews
801488938510729216	2016-11-23 18:13:48+00:00	Will be calling a vote on bogus self employment in construction at 6.30 this eve. Gov could be defeated if Ff support it @davidmurphyRTE
798972095350743040	2016-11-16 19:32:46+00:00	@EqualPayforNQTs @VoiceforTeacher @bindibear3 #equalpayforequalwork https://t.co/dOy1iQ3eW3
798221842439925760	2016-11-14 17:51:32+00:00	@dlrcc protesting the lack of social housing as @simoncoveney announces no change for plans for council housing to called https://t.co/jmNqd6GxIx
796398889821736960	2016-11-09 17:07:46+00:00	Taoiseach&amp;other Irish politicians should not be congratulating #Trump, on campaign based on racism,mysoginy and hatred @rtenews @NewstalkFM
796112704041811969	2016-11-08 22:10:34+00:00	@EqualPayforNQTs @VoiceforTeacher @teach_talk_back @A_Fightback @bindibear3 #asti #into #tui https://t.co/QlYzBLylJY
795887303935881216	2016-11-08 07:14:54+00:00	'Was he really that naïve to think we'd work for free?' Teacher's message to Education Minister (via @thejournal_ie) https://t.co/zltB2By6cq
795607905739350016	2016-11-07 12:44:41+00:00	#Asti #lockout https://t.co/SdhliFhCEN
792464762236010497	2016-10-29 20:34:57+00:00	Poll indicates rise in support for AAA - PBP https://t.co/LiSWCCt60v via @rte
792001396258332673	2016-10-28 13:53:42+00:00	Packed room Save our Seafront meeting last night with Richard Boyd Barrett TD &amp; Cllr Melisa Halpin, People Before Profit #sos #dunlaoghaire https://t.co/az9srP0Cib
791669223181389824	2016-10-27 15:53:45+00:00	"TD slams Department of Education ""Bully boy tactics"" in teacher dispute https://t.co/aNEZC65Ebc #asti"
791668500146294784	2016-10-27 15:50:53+00:00	Major Public Meeting to be held tonight in Royal Marine Hotel on the future of Dun Laoghaire H… https://t.co/sXc4FY2Emz #dunlaoghaire
791667989007433728	2016-10-27 15:48:51+00:00	Sell-out of Independents will mean there will be no referendum to repeal the 8th under this go… https://t.co/OnfUDL5pWC #repealbill
791541161378783232	2016-10-27 07:24:53+00:00	Full support to the @astiunion teachers! #equalpayforequalwork @teach_talk_back @VoiceforTeacher @A_Fightback #asti https://t.co/2pKJjRwmKv
790994860014706688	2016-10-25 19:14:05+00:00	@bridsmith speaking in #dail on #repeal more people in gallery than TDs in chamber. Shocking disrespect on 4th anniversary of savitas death
790575417400946688	2016-10-24 15:27:22+00:00	Call on Independent Alliance to refuse to allow Fine Gael to block AAA-PBP Repeal … https://t.co/wxGbvgQ5BL #repealthe8th #repealbill #dail
790574891137458177	2016-10-24 15:25:16+00:00	Campaign meeting for more local authority housing on public and NAMA development sites… https://t.co/avJzWwRKO8 via @wordpressdotcom
790146315183423488	2016-10-23 11:02:16+00:00	There is a war between the rich and poor! Well said @GeneKerrigan https://t.co/BfV5546eSP
788735225694126081	2016-10-19 13:35:06+00:00	Supporting the students who marched in their thousands today https://t.co/X8JluEWsYg
788428624424800257	2016-10-18 17:16:47+00:00	@A_Fightback @VoiceforTeacher @teach_talk_back @EqualPayforNQTs #equalpayforequalwork #dail https://t.co/LL1jUNWOa6
786637116306497536	2016-10-13 18:37:58+00:00	Developers have added up to €45,000 on to the price of houses since the Budget speech (via @thejournal_ie) https://t.co/RwZzqlLfQC
786615832411574272	2016-10-13 17:13:23+00:00	Fianna Fail and Fine Gael- birds of a feather flock together'- Details the shocking realities of #Budget2017 https://t.co/mtCXb3vHcs
785882641987936256	2016-10-11 16:39:57+00:00	#Budget2017 leaves young people on job seekers with half of what they used to get in 2009 #somuchforequality @rtenews @KittyHollandIT
785881900594434049	2016-10-11 16:37:00+00:00	Social welfare recipients, except pensioners, will all be worse off after #Budget2017 than they were in 2009.
785880026189266944	2016-10-11 16:29:33+00:00	#Budget2017 is a strait jacket because Fianna Gael insist on restricting everything to fiscal rules. @rtenews @IrishTimes
785879111780761600	2016-10-11 16:25:55+00:00	Sham budget debate! Let's talk about the billions available in NAMA and SIF or #AppleTax - then we could have a budget for the people.
785829841782333440	2016-10-11 13:10:08+00:00	@Paschald dishonesty on arts, estimates book show arts down 16% and Irish language down 9%. Disgraceful!!#Budget2017 #Dail
785827864520294400	2016-10-11 13:02:17+00:00	Increases for job seekers but will under 26s still be discriminated against @Paschald? #Budget17 #Dail
785827465923035136	2016-10-11 13:00:42+00:00	€5 more for social welfare recipients but carers, disabled and unemployed will still be over €10 per week worse off than they were in 2009!
785824947100852224	2016-10-11 12:50:41+00:00	@Paschald announcing housing funds of €1.2 billion - how many times can we hear the same announcement? #Budget2017
785818233400070144	2016-10-11 12:24:01+00:00	More tax breaks 4 landlords by #Noonan in #budget. Unbelievable! Are they not making enough from extortionate rent @rtenews @NewstalkFM
785429141621473280	2016-10-10 10:37:54+00:00	AAA-PBP to announce Alternative Budget Statement today. Here is Brid  Smith TD on Claire Byrne  #aaapbp #budget17 #dail https://t.co/GO0hP5zhS5
783397662653579264	2016-10-04 20:05:32+00:00	@A_Fightback @VoiceforTeacher #FEMPI  https://t.co/AxLxRVZc6X
782124475601092609	2016-10-01 07:46:20+00:00	@williamhboney1 https://t.co/ohFAo6CqkJ
781183811338039296	2016-09-28 17:28:28+00:00	To keep up-to-date with People Before Profit Cllrs, TDs &amp; MLAs around the country by following @pb4p #pb4p #dail #Stormont https://t.co/Wx0aKNklId
781110388242907136	2016-09-28 12:36:43+00:00	Have we 2 taoisigh in the one body @EndaKennyTD? 1 approach to water ruling and 1 to Apple. Would the real enda please stand up? @rtenews
781006503893499904	2016-09-28 05:43:55+00:00	Nama- rotten to the core https://t.co/KEYEIg8ztB
780824241012965376	2016-09-27 17:39:40+00:00	People Before Profit Brid Smith TD explains why we support the nurses. https://t.co/vsqVxB0R53
780823657778180096	2016-09-27 17:37:21+00:00	Call for referendum to repeal the Eighth Amendment https://t.co/s4GZueDa1g via @rte
