id	created_at	full_text
1222455898108579840	2020-01-29 09:46:12+00:00	@inkling_micko @greenparty_ie Thanks for your message. We will invest €600m in safe cycle lanes by ring-fencing carbon tax, on top of 200km of dedicated cycle lanes to be delivered under bus connects. We will invest over €8 billion in public transport, including investment in metro and bus. Thanks
1222283938586075139	2020-01-28 22:22:54+00:00	Lots of effort went into creating a cross-party consensus on the carbon tax. It is crucial to ensuring we meet our climate targets. Disappointing to see that consensus being undermined @greenparty_ie #rtept
1221488484994686978	2020-01-26 17:42:03+00:00	You can read about our plan to crack down on waste &amp; litter and promote biodiversity here https://t.co/MhwYWqnOtv via @FineGael
1221413972399792129	2020-01-26 12:45:58+00:00	On Bull Island this morning with @senatornoone @DeirdreDuffyDC outlining our plans to tackle waste &amp; litter and focus on biodiversity @FineGael #LookForward https://t.co/VEgshkOMvS
1219939491659632640	2020-01-22 11:06:54+00:00	Number Of House Completions Last Year Reach Highest Level In A Decade https://t.co/olHjrVB6ZZ
1218521608308101120	2020-01-18 13:12:45+00:00	We will implement the Climate Action Plan which will cut our reliance on fossil fuels and deliver warmer homes, cleaner air and a more sustainable economy #LookForward https://t.co/cvoBkeffLZ
1218503999525179393	2020-01-18 12:02:46+00:00	Upcycling clothes at the @RediscoveryCtr this morning at @FineGael Climate Plan launch @LeoVaradkar @1Hildegarde @NoelRock #LookForward https://t.co/pRLW6vwREU
1218495168162209792	2020-01-18 11:27:41+00:00	We will upgrade 500,000 homes to make them warmer and more energy efficient. We will group homes together to drive down costs, develop lower cost green loans and easy pay back models. We will phase out the installation of oil and gas boilers in all new homes.
1218493942003634178	2020-01-18 11:22:48+00:00	We will ring fence 10% of carbon tax receipts for cycling and active travel. That’ll be a €600m investment. Bus connects will deliver 200km dedicated cycle lanes. This is on top of over €100m being invested by the dept of transport. We want to double the number of cyclists
1218493099485343745	2020-01-18 11:19:28+00:00	70% renewable electricity is at the heart of our Climate Action Plan. https://t.co/j28O1cIIZG
1217939246369136640	2020-01-16 22:38:39+00:00	We will deliver high speed broadband to every home, school, farm and business in the country. That’s 1.1 million people. Essential to give rural Ireland the same opportunities as our towns and cities. Essential for job creation https://t.co/j9y1862eg6
1217074352149213186	2020-01-14 13:21:52+00:00	As the first ever Minister for disabilities he brought a real change to people’s lives.  He was always a loyal colleague and at all times treated both supporters and opponents with fairness and respect.
1217074345685766144	2020-01-14 13:21:50+00:00	I would like to wish my colleague Finian McGrath well. He has served our constituents well and been great to work with in and out of government. His big heart, his playful personality,and his huge commitment enlivened many a cabinet meeting. 1/2 https://t.co/3Yy8ebTaoS
1216992400620560384	2020-01-14 07:56:13+00:00	800,000 electric cars to be sold in Europe by the end of the year, up 60% from 2019.  Cheaper Batteries, More Chargers for Electric Car Buyers in 2020 https://t.co/0ByT8WvmPY
1216849978402000896	2020-01-13 22:30:17+00:00	Climate Action Plan sets out actions needed to deliver 70% renewable electricity by 2030 https://t.co/YWHELXZhJI
1215627480150740992	2020-01-10 13:32:31+00:00	The online safety commissioner will have the power to: - decide the appropriate reporting requirements of compliance with online safety codes - request information from online services about about their compliance with the online safety codes - audit the complaints
