id	created_at	full_text
965524576657657856	2018-02-19 09:52:52+00:00	Going on @TodaySOR shortly to speak about the new circular on the teaching of religion in ETB and community schools issuing today https://t.co/oY8rbfEzrc
964964770096001024	2018-02-17 20:48:24+00:00	The cabinet making an impression in Yeats’ country. A great portrait from IT Sligo at the launch… https://t.co/ULnF9JKiJM
964537652593807360	2018-02-16 16:31:11+00:00	Education is core to our ambitions as a nation. It enables us to excel in science, culture and enterprise, and to break down cycles of disadvantage. That's why the investment provided in #Ireland2040 is so important.
964532526848016385	2018-02-16 16:10:49+00:00	We are investing €2.2 billion in higher education infrastructure, including Public Private Partnership investment in 11 Institutes of Technology #Ireland2040
964532150543544322	2018-02-16 16:09:19+00:00	#Ireland2040 provides the investment needed to make the Irish education and training service the best in Europe
964531312693530624	2018-02-16 16:05:59+00:00	We will invest €8.4 billion in primary and post primary schools, 50 large scale school projects annually with an additional 15,000 schools places annually #ireland2040
964452627235909632	2018-02-16 10:53:19+00:00	Great welcome in @itsligo this morning. Getting ready to launch #Ireland2040 https://t.co/fGCemMcQ0H
963096966208147458	2018-02-12 17:06:24+00:00	Drum roll please 🥁  I’m starting an Instagram page to share some of my work and personal… https://t.co/vXmC4pFZSG
962998746274500608	2018-02-12 10:36:07+00:00	Launching #CreativeSchools with @josephamadigan today. Schools can now apply to the Arts Council to become part of this really exciting https://t.co/xlTThgsioA https://t.co/dXVkM1wu3W
962275070851862528	2018-02-10 10:40:29+00:00	Great day yesterday with @peterburkefg @gabmcfadden and @kevinboxermoran visiting schools in Westmeath https://t.co/ygjVZzFpv9
961354147290402816	2018-02-07 21:41:04+00:00	Our plan is to make Ireland's education and training system the best in Europe by 2026 #BestinEurope https://t.co/NG9cFhO0C4
961345678709583872	2018-02-07 21:07:25+00:00	Very enjoyable morning launching the Action Plan for Education 2018 you can read it here https://t.co/cmV8tChMLT #EducationPlan18 https://t.co/YcvG3ppZjd
961301935096848386	2018-02-07 18:13:36+00:00	Thanks for a fantastic welcome to St Audoen's today! It was great to meet so many students, and of course launch the Action Plan for Education 2018 #bestinEurope https://t.co/lBd8oJnf7D
961198660271960064	2018-02-07 11:23:13+00:00	About to go on @PatKennyNT to speak about today's #EducationPlan18 launch #BestinEurope https://t.co/w07fQO5yhU
961176900205936640	2018-02-07 09:56:45+00:00	Roll out Springboard+2018, offering all courses to those in employment for the first time. As our economy continues to grow we will develop 25 new apprenticeships and 10 new traineeships #bestinEurope #EducationPlan18
