id	created_at	full_text
1582391422699057153	2022-10-18 15:21:29+00:00	Pro-life? https://t.co/XUb80fvthW
1582281627790585856	2022-10-18 08:05:12+00:00	Labhair mé le @NuachtTG4 inné ⬇️ https://t.co/of6VERvlM6 https://t.co/rr5OWZUtYa
1582278937153253376	2022-10-18 07:54:30+00:00	A Tuesday in October:  Students now not getting JC results until November 23rd.  Parents in Meath forced to protest this morning over school transport mess.  One morning, two serious problems - any chance we’d hear from the Minister?
1582091386186498048	2022-10-17 19:29:14+00:00	7 years, 4 Prime Ministers, 1 Brexit &amp; 7 Chancellors since this tweet ⬇️. https://t.co/ImVOP8MUo9
1582015871706284032	2022-10-17 14:29:10+00:00	Total support as always. ☘️ https://t.co/FkQC0AStBz
1581979311099170818	2022-10-17 12:03:54+00:00	#postering https://t.co/u9EFarvv3m
1581978186375516160	2022-10-17 11:59:26+00:00	Changing lives and saving lives.   Thanks to @MerchantsQuayIR for meeting us this morning. https://t.co/hg7gwLKkY9
1581753518536691712	2022-10-16 21:06:41+00:00	@bergin_simon @LabourDBN We’d be happy to have him. Killester in particular has a lot of WW1 history to draw upon not to mention the graveyard.
1581736512173256705	2022-10-16 19:59:06+00:00	As the WNL is drawing to a conclusion in the coming weeks if there are any clubs looking to offload a few players shirts do let us know… https://t.co/PWtzJJOwXC
1581726536302231552	2022-10-16 19:19:27+00:00	Join us next Sunday October 23rd for a History Walking Tour of DONNYCARNEY &amp; KILLESTER.  No booking required.  Meeting at Donnycarney Church at 11.30am. https://t.co/BpNyJiLpyI
1581724495861030912	2022-10-16 19:11:21+00:00	⬇️⚽️ https://t.co/txhiBS9D3q
1581664002978955264	2022-10-16 15:10:58+00:00	4 year old bringing a bit of Picasso to balloon drawing…. https://t.co/Dve7JustzI
1581641164293173248	2022-10-16 13:40:13+00:00	@JeromeDevitt Well I’ll always remember him fondly.  So unfair that he’s no longer with us.
1581639923823628288	2022-10-16 13:35:17+00:00	@JeromeDevitt God that makes me nervous.
1581632250663182337	2022-10-16 13:04:48+00:00	He was a great guy Jerome. I’ve such fond memories of Jonathan. https://t.co/DoyluQPcGy
1581607382500925440	2022-10-16 11:25:59+00:00	He derided the suggestion for months. https://t.co/mvtnXceCvb
1581372043341496320	2022-10-15 19:50:50+00:00	Congrats @nbarrog ! https://t.co/sCPHRfK2h8
1581314842807324672	2022-10-15 16:03:32+00:00	At @Homefarm_FC for the @shelsfc Vs @DLRWaves game in the WNL.  @LoiWomen #COYGIG https://t.co/NX4GCRO7I5
1581307409150025728	2022-10-15 15:34:00+00:00	Such a great fella. Deserves an Ireland call-up asap. @Georgiekelly161 https://t.co/aZ9GMf2wEw
1581249282254188544	2022-10-15 11:43:01+00:00	Thanks to @BaldoyleUtd for the Disney Playmakers camp this morning. https://t.co/Wa3QYyD6xJ
1581035742696189952	2022-10-14 21:34:29+00:00	❤️ @BBCNewsnight
1580979215163592704	2022-10-14 17:49:52+00:00	Every best wish to Declan! ❤️🖤 https://t.co/VGexIYQabT
1580898958699769857	2022-10-14 12:30:58+00:00	Election surely in the UK by the end of the year and hopefully a @UKLabour government.  #GE2022
1580856055512600578	2022-10-14 09:40:29+00:00	Thanks Lesley! https://t.co/E7KVgMWjHu
1580849785841778688	2022-10-14 09:15:34+00:00	Great to meet you this morning @katrionaos! (C’mon Bohs!) https://t.co/iToOKxBjWW
1580633131912400896	2022-10-13 18:54:40+00:00	Love this. https://t.co/JYsbepdMRP
1580551918300323840	2022-10-13 13:31:57+00:00	@Achilltrucker In private primary schools they pay themselves.
1580551835316031488	2022-10-13 13:31:37+00:00	@helenfitzsimon1 No. Not at primary level. Second level private schools don’t get capitation but do get their teacher’s salaries paid. Not at primary level though.
1580529889731837952	2022-10-13 12:04:25+00:00	FG suggestion that private primary schools should benefit from the free books scheme illustrates where their priorities lie &amp; their ignorance of the education system.  Private primary schools get no support from the state at all. None.  Maybe focus on the state ones first FG?
1580525714587078656	2022-10-13 11:47:49+00:00	@ConMurphySport Unbelievable. It’s as stupid a call as I’ve ever heard.
1580524142742233090	2022-10-13 11:41:35+00:00	Oh FFS https://t.co/Img4oUeAKd
1580519779903098881	2022-10-13 11:24:14+00:00	❤️ https://t.co/RZ2nMeQrnl
1580519487773999106	2022-10-13 11:23:05+00:00	Anonymous but clearly well funded pro-life group acknowledge that women should have a choice?  Tell us who you are and where you get your money from. https://t.co/N9VU7yatF5
1580321915482558466	2022-10-12 22:18:00+00:00	I don't know anything about @JBuckleyMLA but he clearly doesn't know anything about the drugs issue.   #NolanLive
1580317227525734400	2022-10-12 21:59:22+00:00	The @StephenNolan #NolanLive programme is reporting on drug injecting in Belfast.  @SDLPyouth &amp; @labouryouth are campaigning for health-led approach across the island.  Current policy is killing people.   #DECRIM is part of the solution to save lives.  @oharamal is 100% correct.
1580303957444132864	2022-10-12 21:06:38+00:00	Watch “Ten Dollar Death Trip” on @netflix.  #DECRIM
1580289615033864193	2022-10-12 20:09:39+00:00	Best of luck lads! https://t.co/9qsrIfWyCQ
