id	created_at	full_text
1179725290626523136	2019-10-03 11:50:02+00:00	With a focus on protecting young people, the planet, and for social equality I launched @greenparty_ie’s alternative budget this morning with @neasa_neasa and @EamonRyan. You can read our full submission here: https://t.co/PfMT36HMHh https://t.co/YOLPBuWbIH
1179457561042571269	2019-10-02 18:06:10+00:00	I spoke in the Dáil this evening to #SupportOurSecretaries - they're a vital part of our education system and have been the victim of an unfair two tier system long enough. @forsa_union_ie https://t.co/sdAZaI5mDt
1179131989359828992	2019-10-01 20:32:28+00:00	Green Party wants every farmer to be paid to plant a hectare of trees each  https://t.co/E8XeUeAWJ4
1179060673726287878	2019-10-01 15:49:05+00:00	Plant more #trees and save the #bees! This evening @EamonRyan and I will bring our native forests motion to the Dáil. We want a new deal for forestry in Ireland - one that supports continuous cover native broadleaf woodland, and protects biodiversity #ClosertoNature https://t.co/ClFO6b1kpi
1178779385626845185	2019-09-30 21:11:20+00:00	The British proposal, as reported, runs contrary to the ongoing consolidation of precious peace achieved by the Good Friday Agreement which was supported by the people of Ireland, north and south. https://t.co/WLx1JbSRr8
1178640339336404993	2019-09-30 11:58:49+00:00	Very proud of #Carrickmacross, where I grew up, in leading the way on a deposit return scheme. Hard to believe the Gov is still blocking the @greenparty_ie #wastereductionbill which would introduce these schemes nationwide &amp; ban single use plastics #notoplastic @CarrickmacrossT https://t.co/prUG6nl4kN
1178313388763570176	2019-09-29 14:19:38+00:00	@beibhinnbyrne @ColetteFinnCork @greenparty_ie @hazechu @paulinegalway @carolynmoore_ie See you at the next meetimg Beibhinn!
1178279185770352640	2019-09-29 12:03:43+00:00	@nessmul18 @ColetteFinnCork @greenparty_ie @hazechu @paulinegalway @carolynmoore_ie Next time Vanessa !
1177978755555500038	2019-09-28 16:09:55+00:00	@dhubhda @ColetteFinnCork @greenparty_ie @hazechu @paulinegalway @carolynmoore_ie Get well soon Sandra !
1177978002682109952	2019-09-28 16:06:56+00:00	Fantastic Mná Glasa gathering this evening chaired by @ColetteFinnCork discussing how we can support and encourage more @greenparty_ie women to stand for election and also how we can work together to influence Green Party policy #morewomen #ClimateAction https://t.co/063w9oJLPz
1177590025875329026	2019-09-27 14:25:15+00:00	@ElsaidSaid @alisonoconn @Ciairin @Alisoncowzer @DeirdreMortell @women4election Glad you enjoyed it Sarah.Hope another take- home was also that you are one of those determined strong women who can make a difference and we need #morewomen like you !
1177194338000035842	2019-09-26 12:12:56+00:00	Fascinating presentations at @forsa_union_ie #4dayweek campaign launch and also delighted to catch up with Fórsa President Ann McGee  this morning #Better4Everyone https://t.co/oq4knbwXI8
1176776639323267072	2019-09-25 08:33:08+00:00	#History informs our understanding of how we are where we are today &amp; gives us the ability to critically analyse the world around us. It needs to be a core subject &amp; the power to secure history on the JC curriculum ultimately lies with the Minister. #maketherightcall https://t.co/SWL0fnp5zm
1176110888245432322	2019-09-23 12:27:41+00:00	Fantastic leadership on #ClimateAction from the students of @BHCMonaghan with their #plasticfree #plexit campaign. Wonderful to be back in Beech Hill and catch up with my former teaching colleagues from many yrs ago - have lots of great memories of this terrific school ! https://t.co/39jGx85FFZ
1175353664665530370	2019-09-21 10:18:45+00:00	'The Government can no longer ignore or delay action on climate change' #ClimateStrike #ClimateAction   Government urged to take climate action after thousands of young people protest https://t.co/EdvlcN3iCq
1175033229423849472	2019-09-20 13:05:27+00:00	Beautiful day (suspiciously warm!?) for a #ClimateStrike with @greenparty_ie &amp; @younggreens #ClimateChange #ClimateEmergency https://t.co/yYkUpePKlM
1175030361098784769	2019-09-20 12:54:03+00:00	Managed to find my husband @FNDuffy amongst the thousands and thousands at the #ClimateStrike in #Dublin united in our call for real #ClimateAction #climategeneration https://t.co/iBVzeVoxBb
1174992741723512832	2019-09-20 10:24:34+00:00	@nialljpmurphy @BallinteerETNS Inspirational !!
1174991591796350976	2019-09-20 10:20:00+00:00	Look at these amazing kids from @BallinteerETNS raising their voices to call for #ClimateActionNow - today is going to be a big day for #GenerationClimate #ClimateStrike #Dundrum https://t.co/2Rvn0E89fh
1174987203941937152	2019-09-20 10:02:34+00:00	Fab to catch up with my friends and former colleagues in @sttiernanscs who are at the #Dundrum Climate Vigil protest with their students ahead of today's #ClimateStrike . Huge crowds already gathering in Dundrum.#FridaysForFuture #climategeneration https://t.co/z5WKJxfPYf
1174954400923582468	2019-09-20 07:52:13+00:00	@SusanAdamsEco @greenparty_ie Thanks Susan..see you there!
1174806249688489984	2019-09-19 22:03:31+00:00	See you there @StepAgainstCC @StepasideETSS . Posters look fab. Will be joining you and thousands of others tomorrow to demand #ClimateAction #ClimateStrike #ClimateEmergency https://t.co/xQYJUW4kbP
1174748980368027648	2019-09-19 18:15:57+00:00	And the Minister indicates that although they will support our @greenparty_ie #JustTransition Bill tonight that the money message will be used at a later stage to block it. Yet again Gov uses the money message to stop #climateaction. #notgoodenough https://t.co/SUIsHTc2Wg
1174729162663301120	2019-09-19 16:57:12+00:00	Tomorrow, schoolkids around the country (and the world!) will be going on #ClimateStrike. I hope you'll join me in supporting them! Climate striking isn't infuriating; climate inaction is. Let's make some noise! #ClimateActionNow https://t.co/Yl4ftjgRbX
1174437306197057541	2019-09-18 21:37:28+00:00	@oboyleconal @cian_mccormack Maith thú Conal !
1174415492032991236	2019-09-18 20:10:47+00:00	@MrsDebbieHJ @OireachtasNews Keep in touch - lovely chatting to you!
1174414267187175429	2019-09-18 20:05:55+00:00	I was chatting to the @GreensUcd this evening about my experiences with the Oireachtas Women’s Caucus and how we make politics more accessible for women - hope to see some of them in the Dáil in the future! #MoreWomen https://t.co/B87Z4C3w5E
1174344854744313856	2019-09-18 15:30:06+00:00	Míle buíochas and well done to the wonderful @sineadmercier for all her work on drafting our #JustTransition Bill https://t.co/FvgOKOqFL5
1174334713894461440	2019-09-18 14:49:48+00:00	Please spread the message about this welcome initiative from @gaabsj, and encourage anyone you might know who would be interested to sign up for the new team! @dmcambrois https://t.co/2OFU8d7X9T
1174294032626966529	2019-09-18 12:08:09+00:00	Our response to #ClimateChange has to be socially just. @EamonRyan and I will be bringing our #JustTransition Bill to the Dáil tomorrow evening to set up a commission to work with Fossil Fuel workers and plan for a green future that everyone can share in. https://t.co/2erC4PatNm
1174282545170657281	2019-09-18 11:22:30+00:00	"Delighted to host ‘Women Champions of Peacebuilding"" -a celebration of women across our island working together to make a difference.Many thanks to @irishrurallink for organising this event #morewomen @PoliticsPlusNI @DooleySinead @NICVA @Kelmba https://t.co/smapT5c7n5"
1174096054633078784	2019-09-17 23:01:27+00:00	@Money_Care Thank you
