id	created_at	full_text
1559836788751048704	2022-08-17 09:37:25+00:00	📻 I was on Morning Ireland on RTÉ Radio 1 this morning to discuss the whitewash that is the Navan Hospital 'review'. Have a listen back here. 👇  https://t.co/erbzmrXfaJ
1559496331051376642	2022-08-16 11:04:34+00:00	The Terms of Reference of the Navan Hospital review (just now published) confirming that the possibility of investing in and keeping the A&amp;E open WILL NOT BE CONSIDERED. Outrageous. #SaveNavanHospital https://t.co/ygNmiGdCKe
1559479587968585729	2022-08-16 09:58:02+00:00	This ‘review’ has all the makings of a whitewash. Window-dressing to deliver on the HSE’s intention to close Navan A&amp;E. (They aren’t even considering an option that keeps the A&amp;E open!). And all under the watchful eye of Fianna Fáil &amp; Fine Gael. Disgrace.  https://t.co/ALbDxqWQXN
1559074633298677763	2022-08-15 07:08:53+00:00	I will be on @LMFMRADIO at 9.15am this morning discussing the refusal by Min. Stephen Donnelly and the HSE to give details of the ongoing review into the future of Navan Hospital. Tune in if you can. 📻 https://t.co/hioN5bvYAW
1558828527004393473	2022-08-14 14:50:57+00:00	A great day at Moynalty Steam Threshing. The best and most historic of equipment on display. Great to have a bumper crowd. Well done to all involved. https://t.co/iIg7FH5C6d
1557464236288352257	2022-08-10 20:29:44+00:00	Yeah, 100 years of Fianna Fáil and Fine Gael… https://t.co/IuA0FRV4Ac
1555539710667329537	2022-08-05 13:02:22+00:00	I'm reminded of this👇🏼. We're fortunate to have an incredible wind resource. It can be used to benefit the many or the few. There is a necessary role for the private sector, but FF/FG/Greens are all too comfortable leaving Ireland as a developer's playground. https://t.co/5gYjMXeaa6 https://t.co/s9ONIjhyke
1555522368503676928	2022-08-05 11:53:27+00:00	The government must introduce a WINDFALL TAX on big-profiting energy companies and redirect the money back into people’s pockets.  The United Nations have called on governments to introduce such a measure which other governments across Europe have done. @PearseDoherty https://t.co/I9N1fBI7dK
1554791850460041218	2022-08-03 11:30:38+00:00	(6/6) https://t.co/p87Utk7woo
1554791582720827394	2022-08-03 11:29:34+00:00	It’s been 5 years since Sinn Féin published our Microgeneration Support Scheme Bill 2017, so there is no excuse for this ongoing delay. (5/6)   https://t.co/h5W5iIOIfY
