id	created_at	full_text
1043989504732909569	2018-09-23 22:24:28+00:00	Brilliant! https://t.co/HOTwDFHpco
1043262815195357185	2018-09-21 22:16:52+00:00	Had a little taster of that wonderful quartet in the marquee.  Really well done to all. https://t.co/BtToL4kr2Y
1043143495458975745	2018-09-21 14:22:44+00:00	Best of luck folks. Looks amazing. Sorry I missed yesterday. Referrals to follow. Well done. Let’s get behind this. Mallow is  #WeAreCork https://t.co/zLwnuV0sCf
1043129053690167297	2018-09-21 13:25:21+00:00	@jackpowerIT @IrishTimes There’s a touch of ‘All the President’s Men’ about these Times we live in
1043104257099145218	2018-09-21 11:46:49+00:00	Let’s also acknowledge @RebeccaMoy on this one folks!!! https://t.co/q9dU7ggPwY
1042868958611820546	2018-09-20 20:11:49+00:00	Well done Barry.  This is well deserved. https://t.co/PqEJBwFF5M
1042671749136035840	2018-09-20 07:08:11+00:00	Very well organised! https://t.co/yK4odzF70c
1042504786522853377	2018-09-19 20:04:44+00:00	Really sorry to have missed this. Clock went against me. Best of luck!!! https://t.co/7y1vSuhnP7
1042464777761710080	2018-09-19 17:25:45+00:00	A sensible approach https://t.co/5MPlDJ9Hbt
1042371355491139584	2018-09-19 11:14:32+00:00	At the start of the Respect and Loyalty Parade in Dublin supporting calls for fair pay and conditions for members of the Defence Forces. Beir Bua. @labour https://t.co/nZMFuimOrS
1042331243449397250	2018-09-19 08:35:08+00:00	*roads (thank you to @brianmcdonagh ) https://t.co/EY1HZw3vwq
1042320589002887170	2018-09-19 07:52:48+00:00	Power affected in Castletownroche. Local Area: Castletownroche Customers Affected: 62 Started: 19/09/2018 08:00 Interruption Type: Fault Estimated Restore: 19/09/2018 12:00 https://t.co/uplfwoxPMa
1042320042422149121	2018-09-19 07:50:38+00:00	Storm conditions across Cork causing delays as trees may still be vulnerable following weather events of the last year. Be careful on rods. Delay your travel if you can. Check on neighbours and vulnerable members of the community make sure you have enough power stored #stormAli
1042025757529329664	2018-09-18 12:21:15+00:00	I've signed up to the Michael D. Higgins 2018 Campaign https://t.co/2BiJ8TG0Tn #aras18 via @michaeldhiggins
1041957132172713984	2018-09-18 07:48:33+00:00	A view shared by many who listened to that @morningireland interview.  Some politicians in the UK in all parties are astoundingly lacking knowledge of Irish affairs https://t.co/s0svyRhpLG
1041662791361470464	2018-09-17 12:18:57+00:00	Thank you. https://t.co/9traZJVABi
1041645653661757440	2018-09-17 11:10:51+00:00	Great.  When is Siro going live in Mallow. ? Install should be near completion? @VodafoneIreland https://t.co/ptMFJ9ey52
1041444206168948736	2018-09-16 21:50:22+00:00	One was very magnanimous 😉 https://t.co/MsGyajrB9y
1041349949676560389	2018-09-16 15:35:50+00:00	Keep us posted.  In Cloisters in Drogheda #aNewRepublic https://t.co/nWPqaByh4g
1040861145819693056	2018-09-15 07:13:30+00:00	Does this fit the definition of a juxtaposition?  @irishexaminer #PuttingThingsIntoPerspective https://t.co/Ei14zKm4ji
1040588193698119680	2018-09-14 13:08:53+00:00	@OrlaOS1 @kevinboxermoran @pmessy @TheAvondhu @Corkman_ie @mallowgrouch @JP_Cork @irishexaminer Hopefully Yes! For cultural/heritage events.  More details to follow.
1040505369913683968	2018-09-14 07:39:46+00:00	OPW to refurbish ground floor at Doneraile Court. Budget for refurbishment works €900k. Working on this for ages. Thank you @kevinboxermoran you’ve delivered on your promise @pmessy  @TheAvondhu @Corkman_ie @mallowgrouch @JP_Cork #Heritage @irishexaminer
1040502676067368960	2018-09-14 07:29:04+00:00	Why wasn’t John Halligan asked about access to school buses yesterday in Buswells ???@morningireland @rtenews
1040238456000196608	2018-09-13 13:59:09+00:00	@teagasc Am looking for link to Research on effects of climate change or mitigation measures in that post?
1040206985197748224	2018-09-13 11:54:06+00:00	Where did the Gardaí use excessive force against protesters when we were in government? And how did the crisis begin because of HAP? https://t.co/HOYr8iv6N7
1040169540364197888	2018-09-13 09:25:18+00:00	Big lessons here for all of us! https://t.co/uMYkwRnJa2
1040161071670145027	2018-09-13 08:51:39+00:00	This is the second message in 24hours from @Corkcoco thank you. I hope to be there. I’m a tad concerned that there is no identifiable source (number etc. )for the message I received. A bit Big Brotherish! https://t.co/QDrfQCixE9
1038874881729867776	2018-09-09 19:40:47+00:00	Well done folks! https://t.co/YdN7XCRnlU
1038330395534811136	2018-09-08 07:37:12+00:00	Essential reading this morning for anyone interested in NI affairs!! https://t.co/tsXQBEgJBA
