id	created_at	full_text
1324016810191179777	2020-11-04 15:53:01+00:00	Today I spoke with Geraldine Finucane &amp; her family in the context of the Govts ongoing support for an independent public inquiry into the murder of Pat Finucane  – upcoming UK Govt response to UKSC decision makes this a very NB time in their long, dignified &amp; determined campaign.
1323698271391490050	2020-11-03 18:47:15+00:00	Congratulations to Comdt Luke Foley - I look forward to working with you in the interests the @defenceforces https://t.co/CDEev6nhmF
1323614417360179203	2020-11-03 13:14:03+00:00	Love this 😄 - good healthy distraction during #Covid19 @RichardbrutonTD https://t.co/r2AF9tAlmP
1323410060157005824	2020-11-02 23:42:00+00:00	Thoughts are with our friends in #Austria tonight after a terror attack in Vienna.  https://t.co/76wfYOYL9N
1322553480100413440	2020-10-31 14:58:16+00:00	Delighted to receive an Act of Kindness today - what a lovely idea and positive campaign!  @theheartangelb https://t.co/lfp4dqpMYp
1322477654583484416	2020-10-31 09:56:57+00:00	@sjanemurf I assure u we’re doing what we can.
1322217122731352071	2020-10-30 16:41:42+00:00	#HalloweenAtHome #ProtectEachOther https://t.co/q1tipC5MzT
1321795327880474625	2020-10-29 12:45:38+00:00	Click and connect: 150 places in Munster to shop locally this Christmas (updated) https://t.co/oIWEgs7kmH
1321793532772945920	2020-10-29 12:38:30+00:00	It matters to be in the #EU - #Solidarity #Strength #Unity #TogetherStronger 🇮🇪🇪🇺 https://t.co/0l2wtwDd8I
1321791209245990913	2020-10-29 12:29:16+00:00	Once again we stand with #France &amp; french people in the face of violence &amp; terrorism. Nous présentons nos condoléances et notre solidarité avec la France après une nouvelle attaque terroriste. Tous les français sont dans nos pensées et nos prières aujourd'hui. https://t.co/cRiUD4vATZ
1321544375386673153	2020-10-28 20:08:26+00:00	Wow.... fantastic 🐬 https://t.co/sI27ULXbyV
1320780562844495872	2020-10-26 17:33:19+00:00	Solidarity with #France &amp; @EmmanuelMacron from #Ireland 🇫🇷🇪🇺🇮🇪. https://t.co/5AfzUeVCTu
1320682694657875971	2020-10-26 11:04:26+00:00	Powerful display of democracy in Chile yesterday. Chile is an important partner of Ireland &amp; EU in Latin America &amp; we look forward to sharing our experiences, including on constitutional reform, as critical work of writing a new constitution begins. #Plebiscito2020 @IrlEmbChile
1320674937439440896	2020-10-26 10:33:36+00:00	@ciarancannon Well done Ciaran.... what a fantastic effort!
1320314468396576769	2020-10-25 10:41:14+00:00	@LauraKEnglish @Damien_English @SOSAD_Ireland @dublinmarathon @LeoVaradkar @Paschald @SimonHarrisTD @emer_currie1 @EnterInnov @jfox19 @MariaWalshEU @ColmMarkey @josephamadigan Making us all feel lazy this morning - keep it going... 🏃🏻‍♂️🏃🏻‍♂️
1320296372021698560	2020-10-25 09:29:19+00:00	Well deserved recognition for @RepRichardNeal for decades of support and friendship to #Ireland, promoting and protecting peace and prosperity. https://t.co/HEWLv5DrOF
